date,metric_type,initiative,digital_maturity,transformation_score,online_adoption_rate,student_participation_pct,faculty_participation_pct,platform_utilization_pct,digital_literacy_students,digital_literacy_faculty,accessibility_compliance_pct,online_completion_rate,satisfaction_score,support_ticket_resolution_hrs,virtual_engagement_rate,remote_enablement_pct,innovation_milestones,digital_budget_allocation_pct,digital_credentials_volume
2025-05-29 16:08:17.716116,overall,All,Leading,64.59959749139927,44.19768385021348,63.0782846916213,58.14479642054066,49.15362266919826,3.123070290498447,2.705104717223132,84.09309712527794,70.29908829475127,3.667286820189853,22.272040301847845,44.62040226075882,68.17935131614344,3,15.69516524833014,143
2025-05-30 16:08:17.716116,overall,All,Established,65.16371569888153,42.10065212543952,59.977483157517575,53.273258398811556,53.19867512418477,3.008120947528592,2.865381209652692,84.98876686933035,76.05550689596181,3.509539737923236,23.65006513098575,45.41963911610289,76.14151960070632,3,15.912297095872047,236
2025-05-31 16:08:17.716116,overall,All,Established,63.601938396878936,39.50004896615343,61.136137633305005,59.09155486304253,49.20447737894587,3.0725254310114374,2.663583841715421,86.28006886066754,71.82037111388235,3.6018166691881652,23.508479763766065,45.297381831121285,69.83903100372278,1,13.91852759538812,499
2025-06-01 16:08:17.716116,overall,All,Basic,65.51837905486826,40.231175948302365,61.71097172544794,55.86196122578316,48.61021633919135,3.2856600621446974,2.91363607741075,85.45673890302989,74.36838179117652,3.6282430018864518,21.93035876604231,43.373686766103205,74.04599193082142,3,15.360345505741039,206
2025-06-02 16:08:17.716116,overall,All,Basic,69.30934010303902,41.691785643092246,62.13558427186011,57.3010989141746,54.78646472432518,3.157957934994716,2.8659209353920017,85.50702692414522,76.34469449341032,3.6539621445513903,21.11541597099357,48.2509675854072,69.10647566912888,3,17.29077396456191,307
2025-06-03 16:08:17.716116,overall,All,Basic,65.22252391211123,37.04114173923497,61.747606793075704,56.010354459211804,49.461473898252166,3.047032636165819,2.8839635539844104,84.73458240054121,72.7068155713371,3.7355024982137364,21.90927876640363,46.35807133879098,73.12058056894172,4,19.078505737021032,434
2025-06-04 16:08:17.716116,overall,All,Established,66.34838369267734,43.42679098227117,60.11751747392552,57.570980673272594,53.72993169856548,3.1278817458247503,2.7582031973326138,85.07409344137257,78.65836891834537,3.4971596193653394,26.150965062498273,45.33883224687076,71.61511362678696,1,15.472171425083195,484
2025-06-05 16:08:17.716116,overall,All,Basic,64.7453601408667,43.13650053665642,63.70391197106746,56.70477484388953,52.20755759805566,3.2133454978419222,2.8964415100043235,85.22636716411942,73.92759476580332,3.7039678052889387,22.187358825829243,45.5719709245707,70.20837509131609,4,16.9834213247185,230
2025-06-06 16:08:17.716116,overall,All,Basic,65.85786549786238,39.45178208384231,61.5328188101624,56.69265548934588,52.29185025904859,3.091496135206892,2.8733000111773235,85.09411091941824,76.07642018249344,3.6420069299848805,19.756127160119256,51.534549291519255,64.36499794686307,2,15.954369453887228,209
2025-06-07 16:08:17.716116,overall,All,Ad hoc,64.9188086385125,46.02103438077803,62.967488567807685,56.958693135395286,55.60392488624492,3.1667421780160536,3.0633376478064553,85.52915172669586,75.32754322975816,3.4687901722619645,21.658522081738678,50.8613426499403,74.57799672254625,5,16.949316157097655,485
