project_id,project_name,resource_id,resource_name,role,allocation_pct,hourly_rate,total_allocated_hours,hours_consumed,utilization_pct,cost_to_date,efficiency_score,skill_match_score,availability_pct,start_date,end_date,department,certification_level
PQC-001,Student Portal Upgrade,RES-001,Team Member 1,QA Tester,78.03148579500237,78.76695085979803,151.03128475753246,271.5803054479504,77.38226235119858,22428.824229203587,7.702511247271784,9.508706858242212,98.58456107263709,2024-02-13,2024-08-08,External Contractor,Mid-Level
PQC-001,Student Portal Upgrade,RES-002,Team Member 2,Designer,68.74431193420867,138.1673059757961,484.28631460914926,170.60067905813165,70.84172945534682,21097.105494410214,8.04030357017773,9.399028571749492,83.75685705075549,2024-02-06,2024-08-08,Business,Mid-Level
PQC-001,Student Portal Upgrade,RES-003,Team Member 3,Business Analyst,86.6073993731945,116.59930110263217,545.9635859566336,339.4531531860115,81.57931791878354,22599.0081331887,7.757985148652615,8.224925297359022,91.26577861907629,2024-01-18,2024-08-18,External Contractor,Senior
PQC-001,Student Portal Upgrade,RES-004,Team Member 4,Business Analyst,55.108422318489524,86.89681083947835,717.3945188051451,503.0779495556409,88.04303881792949,25366.02855584318,8.006116593584172,7.756870631131059,83.78079049455063,2024-02-12,2024-08-05,Business,Expert
PQC-001,Student Portal Upgrade,RES-005,Team Member 5,Architect,78.02323655917871,79.70172162163993,687.5369446492016,52.10095746222071,76.17059673004755,60567.80421140536,7.790675374323267,7.754730970165034,87.20467837600856,2024-02-02,2024-08-22,External Contractor,Mid-Level
PQC-002,Cloud Migration Phase 1,RES-001,Team Member 1,QA Tester,84.16993538320054,141.8904108608051,403.67219370357066,550.4687291199157,79.43295134907981,77305.88123675811,7.223223811313932,9.217548166258107,89.87628080913858,2023-09-01,2024-02-17,External Contractor,Junior
PQC-002,Cloud Migration Phase 1,RES-002,Team Member 2,Business Analyst,35.433688666831564,94.06735378115216,712.8578585868313,150.54398016129525,76.96098520626086,14720.048839658146,8.690270578536028,9.859955763408024,85.37936063190772,2023-09-20,2024-02-26,External Contractor,Expert
PQC-002,Cloud Migration Phase 1,RES-003,Team Member 3,Designer,28.613950929497218,102.00378494257338,769.7598708390003,325.2206301406107,80.81822840049261,39327.47038694705,7.522206810012909,8.421767927161987,87.39626511974353,2023-09-28,2024-03-09,IT,Junior
PQC-002,Cloud Migration Phase 1,RES-004,Team Member 4,Business Analyst,66.40520234900333,106.18481255155876,603.7576716273713,254.138888132158,91.74407941704277,59787.22707190927,8.619282927657304,9.490601488907135,95.08046069856765,2023-09-13,2024-03-14,IT,Expert
PQC-002,Cloud Migration Phase 1,RES-005,Team Member 5,QA Tester,80.3948093599248,98.67205078225125,551.3828228156196,267.3219991863268,87.83017208206545,19941.145617053982,9.225537506590436,8.218523991163948,87.35571975512306,2023-09-25,2024-02-28,Business,Mid-Level
PQC-002,Cloud Migration Phase 1,RES-006,Team Member 6,Business Analyst,65.7854295899678,82.49001158521337,581.6311106852097,183.03888595478028,92.7767175691846,67869.90196592787,8.773457417718477,9.872114889577826,80.62843643022546,2023-09-03,2024-03-01,Business,Junior
PQC-002,Cloud Migration Phase 1,RES-007,Team Member 7,QA Tester,69.63487561792611,75.74428658458767,424.8666116174527,579.9245824881735,82.97580700323871,55815.670059421485,7.779659644792208,9.434978445381907,95.4584296375223,2023-09-08,2024-02-17,Business,Expert
PQC-003,Cybersecurity Enhancement,RES-001,Team Member 1,Architect,26.271074866718575,132.7618658817822,665.0088761554177,116.11397601631694,76.63957082396516,6316.427252497168,7.733271526951412,9.432854684796679,90.35921055425158,2024-02-20,2024-12-07,Business,Expert
PQC-003,Cybersecurity Enhancement,RES-002,Team Member 2,Developer,74.7255509606332,116.12865271467405,715.4785803924692,421.5690505726429,83.67408128428471,67232.23402157336,8.5153664123337,8.227860619462948,84.14189836353142,2024-02-27,2024-12-28,External Contractor,Junior
PQC-003,Cybersecurity Enhancement,RES-003,Team Member 3,Project Manager,95.30338286232406,120.24688542862073,431.3806170464388,82.84406893398912,86.79105703865075,48665.656982617336,9.475522233969054,8.097896944455607,90.61474710573671,2024-02-20,2024-12-14,External Contractor,Senior
PQC-003,Cybersecurity Enhancement,RES-004,Team Member 4,QA Tester,83.26960077454191,90.37359071451124,607.9390401920912,390.85401428819904,92.40187779486433,68539.58292751863,7.787867597831383,8.190593312437883,99.63306647704896,2024-02-08,2024-12-24,External Contractor,Senior
PQC-003,Cybersecurity Enhancement,RES-005,Team Member 5,QA Tester,73.21141861001307,135.73951405204397,763.1766747105128,235.5370775593629,88.12452924810131,45410.97567797143,7.15157231516617,9.224999343272358,93.80193116475687,2024-02-18,2024-12-27,IT,Senior
PQC-003,Cybersecurity Enhancement,RES-006,Team Member 6,Architect,56.17316400144293,97.64375250581264,632.7618142167129,244.84727066257562,93.7267799078711,77173.26522408382,8.55227147554427,9.821650717537207,95.21708689028992,2024-02-14,2024-12-22,Business,Junior
PQC-004,LMS Modernization,RES-001,Team Member 1,Architect,67.06558475219632,139.79711855512576,436.9333635749654,543.7210699728762,86.85872447558673,15274.929729025353,9.487453423312733,8.818081651884782,87.83716592818158,2024-06-12,2025-01-26,IT,Expert
PQC-004,LMS Modernization,RES-002,Team Member 2,QA Tester,96.35723577713742,149.61144704744635,598.2059640222342,589.629052485502,84.2384944891776,24465.633738206776,8.092489714164053,8.983902338446965,81.4616312405403,2024-06-22,2025-01-14,Business,Mid-Level
PQC-004,LMS Modernization,RES-003,Team Member 3,QA Tester,87.20437202188845,129.90919551322168,348.5287395163708,434.071136475165,79.88014815774926,76467.25969983706,9.417631703565087,8.481984439523359,97.08443812681736,2024-06-30,2025-01-28,External Contractor,Mid-Level
PQC-004,LMS Modernization,RES-004,Team Member 4,Project Manager,59.36759877946254,133.60116304608047,772.1174493101217,469.9684878766149,91.38017462545925,50229.82296278874,9.088519577105314,9.461052145008544,87.53971083852561,2024-06-28,2025-01-22,External Contractor,Senior
PQC-004,LMS Modernization,RES-005,Team Member 5,Designer,41.655690301999044,99.12524922446615,693.6294627210387,450.8737932484708,72.38498193283027,37152.651573982526,7.072924409113162,8.702225366507523,93.24868023402136,2024-06-10,2025-01-28,IT,Mid-Level
PQC-004,LMS Modernization,RES-006,Team Member 6,Developer,96.61352447788511,112.10063921934625,458.9041734688397,314.85213715171983,85.88609114148807,11804.127667619829,7.081544870853916,7.644257321039747,88.88730698483029,2024-06-26,2025-01-18,IT,Mid-Level
PQC-004,LMS Modernization,RES-007,Team Member 7,Designer,43.82510374467252,117.30555216251383,351.0049230674112,411.1470905393318,76.00997282233767,19369.470930111933,9.295597716688594,7.754509207373842,90.11915815469864,2024-06-11,2025-01-23,IT,Junior
PQC-004,LMS Modernization,RES-008,Team Member 8,Business Analyst,96.72400700406456,86.11334461724591,575.6849489937358,173.68961924875185,80.78451621935187,58936.99227084267,8.408311605082616,8.568754578320279,86.52676861863975,2024-06-19,2025-01-13,IT,Expert
PQC-004,LMS Modernization,RES-009,Team Member 9,Business Analyst,91.94186706148558,106.45859954679852,646.2558521048172,311.98465331560436,82.43849630365256,20351.008179296296,8.477825758146292,7.96533974438337,86.63129398134387,2024-06-07,2025-01-18,Business,Junior
PQC-004,LMS Modernization,RES-010,Team Member 10,Developer,30.175569445961223,145.5588390377331,454.84430657328426,275.1766394993601,90.27196452519796,67686.9445932887,7.830477582789012,9.234045143684488,95.42245631703773,2024-06-10,2025-01-28,External Contractor,Mid-Level
PQC-005,Network Infrastructure,RES-001,Team Member 1,Project Manager,65.43209145520066,96.18543197775028,397.65972980638577,70.66409971939906,73.19667003056044,62416.00628868956,7.000029086888415,8.541414571205731,90.45020362171176,2023-12-05,2024-09-06,Business,Expert
PQC-005,Network Infrastructure,RES-002,Team Member 2,Architect,25.756795501676855,107.81114449561574,717.9140664713955,78.54551897301995,74.77796773740006,28256.34037570663,8.829311841410533,9.101588982006467,88.3188780916371,2023-12-13,2024-09-08,Business,Mid-Level
PQC-005,Network Infrastructure,RES-003,Team Member 3,Architect,49.39713505172733,128.44659998238848,671.7456265539453,149.88768226613146,79.27352520394413,72645.51475618625,9.016733799236848,9.96214600690619,95.08496519364161,2023-12-21,2024-09-09,IT,Expert
PQC-005,Network Infrastructure,RES-004,Team Member 4,Project Manager,53.551726087064935,106.08522866545076,627.680790398453,61.36925289054746,76.72549116995776,43819.72259866415,7.672116856132108,9.071085118547497,89.63734958549233,2023-12-17,2024-09-27,External Contractor,Junior
PQC-006,AI Tutoring System,RES-001,Team Member 1,Designer,67.00687730825466,133.55488899006758,595.9427882449581,144.64907611239266,94.31049997600257,38661.02343099545,7.397562509350653,7.9504893853203695,81.96469984378162,2024-07-06,2025-03-31,External Contractor,Senior
PQC-006,AI Tutoring System,RES-002,Team Member 2,Business Analyst,79.67357962418623,139.6268177840509,291.8501125395337,493.88899712668666,74.8810150739123,30900.64641836659,7.839026135674606,9.946313670972852,97.13074447495853,2024-07-17,2025-03-20,External Contractor,Junior
PQC-006,AI Tutoring System,RES-003,Team Member 3,Project Manager,48.398801524481385,111.18753151765205,454.67085428792205,262.98049914795274,92.66430526680406,6204.639873575461,8.955428157728115,7.810957078103311,95.95094721074399,2024-07-01,2025-03-18,Business,Junior
PQC-006,AI Tutoring System,RES-004,Team Member 4,QA Tester,66.92354755748306,112.58159101966478,594.3352280743511,343.85980354152167,83.5183641783276,37219.69576820485,7.772086060018352,8.70566090313048,82.36984717536801,2024-07-16,2025-03-02,External Contractor,Senior
PQC-006,AI Tutoring System,RES-005,Team Member 5,QA Tester,42.00455367474724,140.95057651323958,666.152989194477,422.43382685172054,85.62572965213015,28741.22489509025,9.041026962412577,8.753788653699335,81.4178315178257,2024-07-14,2025-03-08,External Contractor,Senior
PQC-006,AI Tutoring System,RES-006,Team Member 6,Business Analyst,87.46227825912032,142.95652953609454,108.50974003417076,420.710955482336,71.29589497799323,46164.39988080169,7.719081822609196,8.266941498805354,87.05917006904713,2024-07-17,2025-03-26,IT,Junior
PQC-007,Campus WiFi Expansion,RES-001,Team Member 1,QA Tester,55.339553918040224,80.1264900232469,648.6318897388751,207.1670785259883,80.81917198998157,56408.29124164261,7.83114039287178,7.641464140366789,87.47842094025627,2023-08-18,2023-12-31,IT,Expert
